id,accountid,pid,spid,target,amount,assetcode,assetissuer,memo,itype,qr,qrtype,status,txhash,created,payed,cb,paymemo,trust,sn,utype,assetname,assetlabel,platform,version,ip
1.20E+18,VCE37DDGLYTIJVFAG4RMCVN6WAQBPVO23N6FL7AJ7GKHBSFVPIYLQP5S,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,1,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx01394uxzqxndxxjr5z48,1,2,b9494774e6c03705e43fa5e0232f38df7de31b4e95a0105c12a3322e56d4c363,51:27.1,51:56.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,112.224.1.14
1.20E+18,VCE37DDGLYTIJVFAG4RMCVN6WAQBPVO23N6FL7AJ7GKHBSFVPIYLQP5S,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.79,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx01394uxzqxndxxjr5z48,1,2,769944922049a827f45444fba3e0cae9cb996a85b0b405d30daba61d4b2e690c,52:19.6,52:43.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,112.224.1.14
1.20E+18,VCE57YZNGJGYXNVOAKM3ZKCMISKTXMERBKXFYJEXSA5I35RZILPLMMWS,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,10,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/tsx02325lop7dlvcvaizv84,1,2,89fbdeec1242604ed50831e659524b32efa41eda113cdd31cc8b9de8088ce4b7,59:36.2,59:54.7,,,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,112.224.33.161
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.1,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,HTTPS://QR.ALIPAY.COM/FKX08746BXT5HVSZR9KM67?t=1574852791749,1,2,0193b40a507358c2911132a4c47062824df3362fc190d389bebaf232dace4b4b,09:28.7,09:52.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.01,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx028528zhxt0qc652hsa4?t=1572496141101,1,2,78bd115895ecd3e0e47dac9937d57f864badc045923b828a1a4f2501562a28cb,12:01.2,12:19.7,,1.20E+18,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCMOY47VF2T44OPCV7J5ZV2JXFYUDC77CJBGFJFTOWCRANF3IVD3XXTR,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.01,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx01653me0admlynwwfe93,1,2,ccaa9f8b587f0a7a0c30acf8bd6787cca25fcfca944ceea312367fe530e1c9a4,12:29.1,12:51.7,,1.20E+18,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,5,60.208.82.182
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.01,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx01653me0admlynwwfe93,1,2,347dc8077c465a5c894b60a683b43fa2880a55c2c35fa2e342c0023ef208c5ca,12:32.9,12:56.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VC2J6O6XQEZ6PRYNXHUDYDQS4WFZZ5HRSTDCRXP7UY4EOAG4BXXDA2P5,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,5,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/tsx18734y00rea6zlahgl6f,1,2,4180aea308d7e1aa24ae2089e305964823904a27cb384fa8215558c9ee58cdfa,15:07.9,15:31.7,,1.20E+18,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCYQCCM5YPM5HSDR3HETTHZ5XCHPQUCIJ5PRXVPFI7LL625RXFEDS3DM,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.01,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,HTTPS://QR.ALIPAY.COM/FKX05324HENN6JVUTH1SAF?t=1575101744674,1,2,9a66d29ad6994fa5623f3f14fca9512bd30d544e2cba75956066ed0bd92d0273,15:55.2,16:11.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VC2J6O6XQEZ6PRYNXHUDYDQS4WFZZ5HRSTDCRXP7UY4EOAG4BXXDA2P5,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,2,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/tsx18734y00rea6zlahgl6f,1,2,32ebbc79ea692ccacfde6e1c6f4000fed277ac650227068534353f1762d4a2cf,15:55.4,16:21.7,,1.20E+18,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VC2J6O6XQEZ6PRYNXHUDYDQS4WFZZ5HRSTDCRXP7UY4EOAG4BXXDA2P5,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,3,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/tsx18734y00rea6zlahgl6f,1,2,ca614cc06da7a3ad059ce580dfdfbbd81622db4d0dca0a93ba65abdaf9ea3305,16:28.9,16:52.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCULZ4Z6A3TTPXTSBAAE47K2NU5BMXT7SWVCUKJGOJZGL5JITUTZN2TH,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,10,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,HTTPS://QR.ALIPAY.COM/FKX07501G4NPAGTUXFNC65,1,2,4249911dd9731d8758139bea27cafa8196a6a68768016ed38a79047ee8583cd4,18:39.3,19:04.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,113.127.63.109
1.20E+18,VC2J6O6XQEZ6PRYNXHUDYDQS4WFZZ5HRSTDCRXP7UY4EOAG4BXXDA2P5,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,5,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/tsx10062qvziuuzyt1uta25,1,2,13f675db81222a40e82e5520f016bfcdacc5d6d31bad4aaea96ca5eef4fd626a,22:10.8,22:33.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VC2J6O6XQEZ6PRYNXHUDYDQS4WFZZ5HRSTDCRXP7UY4EOAG4BXXDA2P5,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,3,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/tsx10062qvziuuzyt1uta25,1,2,c14746b3a5fc89d5f38af004af6f390c063f9860f9a74df3f59ee8ff64dbe555,22:53.2,23:14.7,,1.20E+18,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VC2J6O6XQEZ6PRYNXHUDYDQS4WFZZ5HRSTDCRXP7UY4EOAG4BXXDA2P5,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,7,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/tsx10062qvziuuzyt1uta25,1,2,97778cde33fa51f2d1e3b73b2878e55a3bbe2d30efe9c7c92c92efd5f75bdeb0,23:40.6,24:06.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VC2J6O6XQEZ6PRYNXHUDYDQS4WFZZ5HRSTDCRXP7UY4EOAG4BXXDA2P5,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,5,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/tsx10062qvziuuzyt1uta25,1,2,7e33b1372481dea44291c415da94591d320c3444d75429431ac868c05484a828,24:38.5,25:01.7,,1.20E+18,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCH7ZNMROF67OJPQ7BTR7YZBDEUWPGEQC23GGWAGOB4QOAUFB7SYRPBL,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.01,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx08545gkgkl4a31gxzdd8?t=1575102934177,1,2,5d4ba21e24198bf9dc893492d94185ce2d8f004bc429880880b0652d86347432,35:44.3,36:05.7,,1.20E+18,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VC3G5MGASQGPDXV7HDKRZWOINXBECW764N46P57OBQ6OHU6KYGO6BS2D,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,26.4,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx026316emumc64ib6xi3e?t=1575110469903,1,2,fb7371e9a39228027a971d6c54c9f52e840ce706291e9c8764eea37cf8d8d5df,41:41.7,42:06.7,,1.20E+18,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,112.224.32.49
